"","Mean_Temp","Num_Total_Crimes"
"1",39,407
"2",43,447
"3",50,518
"4",49,458
"5",43,373
"6",41,383
"7",40,427
"8",49,431
"9",50,520
"10",50,435
"11",44,351
"12",44,424
"13",40,377
"14",40,370
"15",49,410
"16",49,453
"17",44,458
"18",39,419
"19",38,388
"20",44,378
"21",36,342
"22",40,423
"23",45,466
"24",54,488
"25",49,395
"26",49,399
"27",51,390
"28",50,372
"29",51,408
"30",50,457
"31",48,464
"32",46,426
"33",51,391
"34",48,384
"35",45,400
"36",44,428
"37",45,432
"38",47,509
"39",59,410
"40",56,462
"41",57,415
"42",53,415
"43",51,432
"44",51,464
"45",52,522
"46",55,439
"47",56,409
"48",46,415
"49",53,418
"50",49,406
"51",54,457
"52",61,534
"53",66,495
"54",69,519
"55",60,502
"56",62,510
"57",54,406
"58",50,490
"59",57,537
"60",59,506
"61",54,468
"62",49,445
"63",50,434
"64",53,473
"65",50,474
"66",51,525
"67",55,496
"68",62,458
"69",62,437
"70",52,428
"71",50,479
"72",59,521
"73",65,567
"74",69,484
"75",72,511
"76",64,520
"77",63,488
"78",57,478
"79",55,502
"80",58,516
"81",61,522
"82",59,496
"83",55,435
"84",57,460
"85",55,475
"86",61,526
"87",61,547
"88",59,476
"89",58,399
"90",58,490
"91",63,456
"92",65,504
"93",68,545
"94",62,534
"95",57,557
"96",57,443
"97",56,438
"98",56,458
"99",59,471
"100",52,499
"101",56,525
"102",58,474
"103",64,462
"104",60,483
"105",59,487
"106",58,504
"107",65,587
"108",73,607
"109",68,497
"110",60,507
"111",59,498
"112",66,496
"113",69,521
"114",62,535
"115",58,519
"116",62,543
"117",61,459
"118",60,467
"119",65,483
"120",65,509
"121",70,579
"122",68,591
"123",63,548
"124",65,512
"125",62,602
"126",63,736
"127",68,641
"128",69,516
"129",72,580
"130",75,502
"131",70,499
"132",69,539
"133",73,466
"134",71,514
"135",69,570
"136",71,581
"137",66,500
"138",68,520
"139",73,477
"140",68,502
"141",71,565
"142",67,582
"143",71,541
"144",64,554
"145",61,514
"146",69,458
"147",72,529
"148",71,561
"149",66,559
"150",70,540
"151",69,513
"152",66,521
"153",67,476
"154",68,516
"155",66,506
"156",75,564
"157",81,617
"158",79,566
"159",78,500
"160",71,479
"161",68,498
"162",70,525
"163",69,526
"164",73,546
"165",78,528
"166",77,482
"167",75,527
"168",80,502
"169",83,512
"170",81,560
"171",70,535
"172",70,512
"173",68,502
"174",68,538
"175",65,538
"176",64,518
"177",63,513
"178",69,593
"179",67,502
"180",69,475
"181",70,546
"182",67,508
"183",67,499
"184",66,539
"185",63,549
"186",65,514
"187",67,478
"188",71,539
"189",72,551
"190",74,524
"191",76,540
"192",70,582
"193",62,477
"194",63,489
"195",60,448
"196",67,489
"197",71,527
"198",71,579
"199",68,567
"200",67,542
"201",71,569
"202",71,550
"203",65,501
"204",59,492
"205",62,567
"206",61,522
"207",60,476
"208",62,458
"209",64,474
"210",62,468
"211",66,531
"212",72,578
"213",65,570
"214",62,559
"215",66,524
"216",61,477
"217",58,486
"218",60,500
"219",57,551
"220",58,528
"221",60,513
"222",56,475
"223",58,469
"224",56,450
"225",57,439
"226",52,492
"227",61,488
"228",61,462
"229",63,474
"230",59,431
"231",53,494
"232",56,467
"233",58,496
"234",49,512
"235",48,420
"236",48,424
"237",48,391
"238",50,399
"239",49,470
"240",53,480
"241",56,552
"242",59,511
"243",63,500
"244",60,423
"245",57,492
"246",57,528
"247",57,551
"248",59,504
"249",62,495
"250",59,473
"251",56,482
"252",49,437
"253",45,443
"254",42,409
"255",42,429
"256",43,448
"257",49,417
"258",51,406
"259",50,436
"260",47,458
"261",46,494
"262",47,472
"263",50,422
"264",54,449
"265",53,432
"266",44,467
"267",43,298
"268",48,401
"269",50,442
"270",44,407
"271",46,409
"272",41,398
"273",42,378
"274",44,430
"275",53,482
"276",50,478
"277",49,431
"278",51,411
"279",52,409
"280",45,446
"281",43,414
"282",46,502
"283",43,466
"284",45,390
"285",48,432
"286",44,421
"287",45,416
"288",44,458
"289",40,469
"290",38,457
"291",46,426
"292",43,452
"293",38,394
"294",44,388
"295",47,425
"296",40,456
"297",45,525
"298",40,388
"299",43,425
"300",41,303
"301",40,386
"302",43,368
"303",39,435
"304",35,414
"305",37,410
"306",33,413
"307",32,453
"308",37,415
"309",36,403
"310",38,444
"311",36,398
"312",37,399
"313",46,451
"314",50,398
"315",45,380
"316",37,399
"317",35,442
"318",30,393
"319",30,375
"320",32,368
"321",36,365
"322",36,378
"323",38,412
"324",36,443
"325",31,435
"326",35,406
"327",33,378
"328",33,351
"329",34,364
"330",39,425
"331",41,419
"332",43,421
"333",40,349
"334",43,359
"335",46,367
"336",47,402
"337",48,424
"338",46,498
"339",45,471
"340",41,426
