height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
72,23.52,23.2,m,r,l
69,22.5,23,m,r,l
65,19.5,19.5,f,r,r
70,16,17,f,r,r
70.5,21.5,21.6,f,r,l
76,25,23.5,m,r,l
68,23.1,23,m,r,l
67,18,18,f,l,l
75,22.8,22.9,m,r,r
74,17.5,17.5,m,r,l
73,22.4,22.6,m,l,r
65,13.7,13.5,f,r,l
69,20.6,20.1,m,r,l
66,20.5,20.2,m,l,r
67,24,24,m,r,r
70,23.5,23.4,m,r,r
65,18.5,18.5,m,r,r
70,19.6,19.8,f,r,r
67,19.9,19.4,f,r,r
62,14,14,f,r,r
63,15.5,16,f,r,r
66,17,18,f,r,r
69.75,14.5,14.5,m,r,l
62,15,15,f,r,l
70,16,16,f,r,r
71,21.4,21.6,m,r,r
71,20,19.5,m,r,r
75,21,21,m,r,l
66,18.3,18.8,m,r,r
66.5,18,17.5,f,r,r
70,20.8,20.8,m,r,r
68.5,17.9,17.5,f,r,r
71,20.1,20.4,m,r,l
63.5,14.6,14.8,f,r,r
67,14.5,14.5,f,l,r
73,22,22,m,r,l
69,20.5,18.5,f,l,r
66.5,20.5,20.5,f,r,r
64,20.5,20.8,f,r,r
65,17.5,17.5,f,r,l
66,23,22.5,m,r,r
63,19,18,f,r,r
64,17.3,17.3,f,r,r
72,20,20.5,m,r,r
61.5,13,13.1,f,r,r
64,18,18,f,r,r
66,21.5,21.4,m,r,r
62,15,16,f,r,l
70,16.3,15.9,m,r,r
77,24.1,24.3,m,l,l
71,20.5,20.1,m,r,l
68.5,18.5,18.4,f,r,r
67.5,21.2,20.2,f,r,r
70,21.5,22,m,r,l
67,21,21.2,m,r,r
72,21,20.5,m,r,r
70,20.2,20,m,l,l
64,20.9,21.5,f,r,l
63,21,21,f,r,l
68,18.6,18.3,f,r,r
72,23,23,m,r,r
73,24,23.8,m,r,r
64,17,17.5,f,r,r
67,18.5,18.5,m,r,r
71,21.4,21.3,m,r,l
64.5,20.5,20.4,f,r,l
74,21.5,23.5,m,r,l
63,16.5,16,f,r,r
69,20,20.5,f,r,l
68,15.5,15.5,f,r,r
65.5,17,17,f,r,r
61,15.3,15,f,r,r
66,19,18,f,r,r
60.5,17.5,17,f,r,l
64,14.9,15,f,r,r
69.5,19.5,20.5,m,r,l
73,21.7,21.9,m,r,r
72.8,21.5,20.5,m,r,r
63,17.5,18,f,r,r
62,17.5,18.3,f,r,r
68,20,20.5,f,r,l
72,21,21,m,r,r
68.5,19.5,18,f,r,r
64,19.4,19.8,f,r,l
62,14.5,15.9,f,l,l
69,18.5,17.5,f,r,r
63.5,17,16.5,f,r,r
66,20,20.5,m,r,r
73,23,23,m,r,r
71,18,18.5,f,r,l
69,17.9,18.1,f,l,r
76,21.2,20.9,m,l,r
77,22,22,m,r,r
68,21,21.5,m,r,l
70,18.1,18,m,l,r
72,21.5,19.5,m,r,r
63,15.5,16,f,r,r
73.5,19.8,19.8,m,r,r
67,15.5,13.75,f,r,r
62,15,15,f,r,r
70,16,16.5,m,r,l
66,21.5,22,m,r,r
74,20.6,20.7,m,r,l
63,14.5,15.5,f,r,r
62,12,12,f,r,l
74,21.5,21.7,m,r,l
62,14,14,f,r,l
65,20,20,f,r,l
59,15.5,16,f,r,l
70,21,21,m,r,r
74,19,21,m,r,r
70,20.2,19.5,m,r,l
61,14.5,15,f,r,l
68,19,19,f,r,r
75,22.5,22,m,r,l
70,19.3,19.5,f,r,r
61,19,19,f,r,r
66,16.5,16,f,r,l
70,20,20.5,m,r,r
68,15,14.5,f,r,r
69,15,15.5,f,r,r
64.5,16,16,f,r,l
69,19.5,19.5,f,l,l
63,19,20,f,r,l
72,21,21.5,m,r,l
72,17,18,m,r,l
58.5,17.4,16.3,f,r,r
72.5,23,23,m,r,r
62,12,14,f,r,l
65,16,16,f,r,r
62.5,17,16,f,r,l
61,18.5,18.2,f,r,r
71,17,17.5,f,r,r
68,17,18,f,r,l
65.5,19,19,f,r,r
65,18.5,18.7,f,r,l
63,19,18,f,r,l
74,21.9,21.7,m,r,l
71,21.8,22,m,r,r
62,14,16,f,r,l
72,21.1,21,m,r,r
67,18.5,19.5,m,r,r
70,20.2,20.4,m,r,r
65,20.5,19,f,r,l
65,20,19.5,f,r,r
68,20.1,20.2,f,l,r
72,21.5,21.5,m,r,r
66,21.5,20.5,f,r,l
69,21.5,22.2,m,r,r
67,21.2,21.5,f,r,r
60,19.3,19.5,f,r,l
66,20.5,20.4,f,r,r
69,20,20.5,m,r,r
66,21.3,21.4,m,r,l
76,24,24,m,r,r
68,21.2,20.1,m,r,r
65,16.5,16.5,f,r,r
70,18.7,19.2,m,r,l
68,20.6,20.4,m,l,r
69,21,20.6,m,l,l
60,19.5,19,f,r,r
63,18,17,f,r,r
69,20,19.5,f,r,r
72,19.5,19.8,m,r,r
69,20.2,22,m,r,r
74,23.6,23.6,m,r,r
72,23,22.3,f,l,r
66,20,20,m,r,r
67,18.3,18.1,m,r,l
62,17,16,f,l,l
72,21,21,m,r,l
67,19.3,20,f,r,l
64,20.7,21.5,f,r,r
66,20.5,20.5,f,r,r
71,18.5,18.2,f,r,r
63,19,18.2,f,r,l
65,20,20.5,f,r,r
70,20,19,m,r,r
67.75,20,18.3,m,r,r
